partA,partB
JX545395.1,JX545359.1
JX545402.1,JX545366.1
JX545398.1,JX545362.1
JX545385.1,JX545349.1
JX545400.1,JX545364.1
JX545388.1,JX545352.1
JX545390.1,JX545354.1
JX545393.1,JX545357.1
AY926755.1,AY926817.1
FJ752383.1,FJ756218.1
FJ752386.1,FJ756221.1
AY926758.1,AY926820.1
FJ752389.1,FJ756224.1
AY926754.1,AY926816.1
FJ752392.1,FJ756227.1
FJ752399.1,FJ756234.1
AY926807.1,AY926868.1
AY926808.1,AY926869.1
AY926809.1,AY926870.1
AY926767.1,AY926829.1
AY926813.1,AY926874.1
FJ752388.1,FJ756223.1
AY926759.1,AY926821.1
FJ752385.1,FJ756220.1
AY926764.1,AY926826.1
AY926812.1,AY926873.1
AY926753.1,AY926815.1
AY926801.1,AY926862.1
AY926777.1,AY926839.1
AY926756.1,AY926818.1
AY926760.1,AY926822.1
AY926793.1,AY926854.1
AY926791.1,AY926852.1
FJ752400.1,FJ756235.1
AY926798.1,AY926859.1
AY926802.1,AY926863.1
AY926792.1,AY926853.1
AY926805.1,AY926866.1
FJ752408.1,FJ756243.1
AY926810.1,AY926871.1
JX545408.1,JX545372.1
JX545416.1,JX545380.1
AY926794.1,AY926855.1
AY926795.1,AY926856.1
HE967282.1,HE967283.1
JX545382.1,JX545346.1
JX545412.1,JX545376.1
JX545414.1,JX545378.1
JX436325.1,JX436326.1
AY926800.1,AY926861.1
JX545417.1,JX545381.1
JN800584.1,JN800621.1
JX545404.1,JX545368.1
JN800581.1,JN800618.1

